MAKE_MODEL CODE;VARIABLE CODE(S);MODEL_MANUFACTURER *INFO*;MODEL *INFO*;SENSOR_TYPES *INFO*
SEABIRD_SBE45;SST;SSS;Sea-Bird Electronics, Inc. (3618);SBE45;SST_TSG;SSS_TSG
SEABIRD_SBE48;SST;Sea-Bird Electronics, Inc. (3618);SBE48;SST_HULL_CONTACT_SENSOR
SEABIRD_SBE49;SUB_PRESS;SUB_SAL;SUB_T;Fisheries and Oceans Canada (5370);SBE49;CTD_PRES;CTD_CNDC;CTD_TEMP
SESTREL_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SESTREL_MERCURY BAROMETER;ATMPRESS;;MERCURY BAROMETER;BAROMETER_MERCURY
SETRA_370;ATMPRESS;;370;BAROMETER_ELECTRIC
SETRA_470;ATMPRESS;;470;BAROMETER_ELECTRIC
SETRA_CS100;ATMPRESS;;CS100;BAROMETER_ELECTRIC
SETRA_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
SHANGHAI_272-A;AIRTEMP;;272-A;THERMOMETER_ALCOHOL
SHANGHAI_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
SHANGHAI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
SHANGHAI SHEN HANG_CZ-5;WD;WS;;CZ-5;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SHANGHAI YIPIN INSTRUMENTS AND METERS_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SHATZ_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SIMRAD_CUP WINDSENSOR;WS;SIMRAD, Kongsberg Maritime AS (2283);CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
SIMRAD_VANE WINDSENSOR;WD;SIMRAD, Kongsberg Maritime AS (2283);VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
SIPPICAN_DEEPBLUE;SUB_T;DEPTH;SIPPICAN (3624);DEEPBLUE;SWT_XBT;DEP_XBT
SIPPICAN_FASTDEEP;SUB_T;DEPTH;SIPPICAN (3624);FASTDEEP;SWT_XBT;DEP_XBT
SIPPICAN_T10;SUB_T;DEPTH;SIPPICAN (3624);T10;SWT_XBT;DEP_XBT
SIPPICAN_T11;SUB_T;DEPTH;SIPPICAN (3624);T11;SWT_XBT;DEP_XBT
SIPPICAN_T4;SUB_T;DEPTH;SIPPICAN (3624);T4;SWT_XBT;DEP_XBT
SIPPICAN_T5;SUB_T;DEPTH;SIPPICAN (3624);T5;SWT_XBT;DEP_XBT
SIPPICAN_T5_20;SUB_T;DEPTH;SIPPICAN (3624);T5_20;SWT_XBT;DEP_XBT
SIPPICAN_T6;SUB_T;DEPTH;SIPPICAN (3624);T6;SWT_XBT;DEP_XBT
SIPPICAN_T7;SUB_T;DEPTH;SIPPICAN (3624);T7;SWT_XBT;DEP_XBT
SIPPICAN_XCTD-1;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-1;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SIPPICAN_XCTD-2;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-2;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SIPPICAN_XCTD-3;SUB_SAL;SUB_T;CNDC;DEPTH;SIPPICAN (3624);XCTD-3;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
SKYWATCH_XPLORER3;WS;;XPLORER3;ANEMOMETER_PROPELLER_VANE_WS
SPERRY MARINE_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
SPERRY MARINE_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
SPERRY MARINE_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
SPER SCIENTIFIC_736700;HUM;;736700;PSYCHROMETER_ALCOHOL
SPER SCIENTIFIC_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
STOCKBURGER_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
SUNDO_TYPE 61;ATMPRESS;;TYPE 61;BAROMETER_ANEROID_HAND
SUZUKI SEISAKUSHO_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAKAHASHI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAMAYA_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAYLOR_5525;AIRTEMP;;5525;THERMOMETER_ALCOHOL
TAYLOR_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TAYLOR_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
TAYLOR_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TAYLOR_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
TAYLOR_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_ELECTRIC
TAYLOR_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
TERASAKI ELECTRICAL_WE300;ATMPRESS;;WE300;BAROMETER_ELECTRIC
TEREN_AM4822;WS;;AM4822;ANEMOMETER_PROPELLER_VANE_WS
TESS_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
THEODOR FREIDRICH_5005;ATMPRESS;;5005;BAROMETER_ELECTRIC
THEODOR FRIEDRICHS_ALCOHOL THERMOMETER;SST;;ALCOHOL THERMOMETER;SST_BUCKET_THERMOMETER
THEODOR FRIEDRICHS_MERCURY THERMOMETER;SST;;MERCURY THERMOMETER;SST_BUCKET_THERMOMETER
THEODOR FRIEDRICHS_PT100;SST;;PT100;SST_IMMERSED_THERMOMETER
THIES CLIMA_4.3324.31;WD;WS;;4.3324.31;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3336.21;WD;WS;;4.3336.21;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3336.31.001;WD;WS;;4.3336.31.001;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_4.3824.40.260;WD;WS;;4.3824.40.260;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIESCLIMA_ANEMOMETER;WD;WS;;ANEMOMETER;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
THIES CLIMA_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
THIES CLIMA_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
THIES CLIMA_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
THIES CLIMA_HYGRO-THERMO TRANSMITTER COMPACT;AIRTEMP;;HYGRO-THERMO TRANSMITTER COMPACT;THERMOMETER_ELECTRIC
THIES CLIMA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
THIES CLIMA_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
THIES CLIMA_ULTRASONIC2D;WD;WS;;ULTRASONIC2D;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
THIES CLIMA_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
TIANJIN_8908;WS;;8908;ANEMOMETER_PROPELLER_VANE_WS
TIANJIN_DEM6;WD;WS;;DEM6;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
TOKAIDO_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TOKYO KEIKI_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
TOMAYA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TOMAYA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TOMEI_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
TOYAMA_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TROCKON_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
TSK_DEEPBLUE;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);DEEPBLUE;SWT_XBT;DEP_XBT
TSK_T10;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T10;SWT_XBT;DEP_XBT
TSK_T4;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T4;SWT_XBT;DEP_XBT
TSK_T5;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T5;SWT_XBT;DEP_XBT
TSK_T6;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T6;SWT_XBT;DEP_XBT
TSK_T7;SUB_T;DEPTH;TSURUMI-SEIKI CO., LTD (4634);T7;SWT_XBT;DEP_XBT
TSK_XCTD-1;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-1;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
TSK_XCTD-2;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-2;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
TSK_XCTD-3;SUB_SAL;SUB_T;CNDC;DEPTH;TSURUMI-SEIKI CO., LTD (4634);XCTD-3;SWS_XCTD;SWT_XCTD;COND_XCTD;DEP_XCTD
UINS_YTH-104;AIRTEMP;HUM;;YTH-104;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
UNIVERSITY OF SOUTHAMPTON_ISAR;SST;University of Southampton (1801);ISAR;SST_RADIATION_THERMOMETER
US GOVERNMENT_AIRFLO;ATMPRESS;;AIRFLO;BAROMETER_ANEROID_HAND
UTSUKI KEIKI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
UTSUKI KEIKI CO LTD_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
VAISALA_CL31;ATT_BACKSCATTER;VAISALA (3883);CL31;CEILOMETER
VAISALA_CUPS_WAA151_VANE_WAV151;WD;VAISALA (3883);CUPS_WAA151_VANE_WAV151;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VAISALA_DPA21;ATMPRESS;VAISALA (3883);DPA21;BAROMETER_ELECTRIC
VAISALA_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;VAISALA (3883);ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
VAISALA_ELECTRIC BAROMETER;ATMPRESS;VAISALA (3883);ELECTRIC BAROMETER;BAROMETER_ELECTRIC
VAISALA_HM34;AIRTEMP;HUM;VAISALA (3883);HM34;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_HMP110;AIRTEMP;HUM;VAISALA (3883);HMP110;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_HMP155;AIRTEMP;HUM;VAISALA (3883);HMP155;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_HMP233;HUM;VAISALA (3883);HMP233;HYGROMETER_ELECTRONIC
VAISALA_HMP35;HUM;VAISALA (3883);HMP35;HYGROMETER_ELECTRONIC
VAISALA_HMP45;AIRTEMP;HUM;VAISALA (3883);HMP45;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_HMP45A;AIRTEMP;VAISALA (3883);HMP45A;THERMOMETER_ELECTRIC
VAISALA_HMP45D;AIRTEMP;VAISALA (3883);HMP45D;THERMOMETER_ELECTRIC
VAISALA_HMP60;HUM;VAISALA (3883);HMP60;HYGROMETER_ELECTRONIC
VAISALA_HMT333;HUM;VAISALA (3883);HMT333;HYGROMETER_ELECTRONIC
VAISALA_HMT360;AIRTEMP;VAISALA (3883);HMT360;THERMOMETER_ELECTRIC
VAISALA_HMT361;AIRTEMP;VAISALA (3883);HMT361;THERMOMETER_ELECTRIC
VAISALA_PA11;ATMPRESS;VAISALA (3883);PA11;BAROMETER_ELECTRIC
VAISALA_PMB100;ATMPRESS;VAISALA (3883);PMB100;BAROMETER_ELECTRIC
VAISALA_PMT16;ATMPRESS;VAISALA (3883);PMT16;BAROMETER_ELECTRIC
VAISALA_PT100;AIRTEMP;VAISALA (3883);PT100;THERMOMETER_ELECTRIC
VAISALA_PTB100;ATMPRESS;VAISALA (3883);PTB100;BAROMETER_ELECTRIC
VAISALA_PTB110;ATMPRESS;TEND;VAISALA (3883);PTB110;BAROMETER_ELECTRIC;ATM_PRESS_TEND
VAISALA_PTB200;ATMPRESS;VAISALA (3883);PTB200;BAROMETER_ELECTRIC
VAISALA_PTB210;ATMPRESS;VAISALA (3883);PTB210;BAROMETER_ELECTRIC
VAISALA_PTB220;ATMPRESS;TEND;VAISALA (3883);PTB220;BAROMETER_ELECTRIC;ATM_PRESS_TEND
VAISALA_PTB330;ATMPRESS;TEND;VAISALA (3883);PTB330;BAROMETER_ELECTRIC;ATM_PRESS_TEND
VAISALA_PTU200;AIRTEMP;ATMPRESS;VAISALA (3883);PTU200;THERMOMETER_ELECTRIC;BAROMETER_ELECTRIC
VAISALA_PTU300;ATMPRESS;VAISALA (3883);PTU300;BAROMETER_ELECTRIC
VAISALA_PTU303;AIRTEMP;HUM;VAISALA (3883);PTU303;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_PTU307;AIRTEMP;HUM;VAISALA (3883);PTU307;THERMOMETER_ELECTRIC;HYGROMETER_ELECTRONIC
VAISALA_PWD52;VISIBILITY;VAISALA (3883);PWD52;OPTICAL_PRESENT_WEATHER_SENSOR
VAISALA_THERMOMETER;AIRTEMP;VAISALA (3883);THERMOMETER;THERMOMETER_GENERIC
VAISALA_ULTRASONIC WINDSENSOR;WD;WS;VAISALA (3883);ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
VAISALA_WAA12;WS;VAISALA (3883);WAA12;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
VAISALA_WAA15;WS;VAISALA (3883);WAA15;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
VAISALA_WAA151;WS;VAISALA (3883);WAA151;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
VAISALA_WAV12;WD;VAISALA (3883);WAV12;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VAISALA_WAV15;WD;VAISALA (3883);WAV15;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VAISALA_WAV151;WD;VAISALA (3883);WAV151;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VAISALA_WMT52;WD;WS;VAISALA (3883);WMT52;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
VAISALA_WMT700;WD;WS;VAISALA (3883);WMT700;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
VAISALA_WMT702;WD;WS;VAISALA (3883);WMT702;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
VAISALA_WXT510;HUM;VAISALA (3883);WXT510;HYGROMETER_ELECTRONIC
VAISALA_WXT520;AIRTEMP;WD;HUM;WS;ATMPRESS;VAISALA (3883);WXT520;THERMOMETER_ELECTRIC;ANEMOMETER_SONIC_WD;HYGROMETER_ELECTRONIC;ANEMOMETER_SONIC_WS;BAROMETER_ELECTRIC
VEB FEINGERATEBAU_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
VECTOR INSTRUMENTS_CUP WINDSENSOR;WS;;CUP WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WS
VECTOR INSTRUMENTS_VANE WINDSENSOR;WD;;VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_SEPARATED_WD
VEMCO_VMT;SOUND;Innovasea Systems Inc (5542);VMT;ACOUSTIC
VION_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
WALLACE AND TIERNAN PENNWALT_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
WALMART_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
WEATHERTRONICS_ULTRASONIC WINDSENSOR;WD;WS;;ULTRASONIC WINDSENSOR;ANEMOMETER_SONIC_WD;ANEMOMETER_SONIC_WS
WEEMS AND PLATH_ADMIRAL;ATMPRESS;;ADMIRAL;BAROMETER_ANEROID_HAND
WEEMS AND PLATH_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
WEEMS AND PLATH_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
WEMPE_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
WEMPE_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
WEMPE_PROPELLER VANE WINDSENSOR;WD;WS;;PROPELLER VANE WINDSENSOR;ANEMOMETER_PROPELLER_VANE_WD;ANEMOMETER_PROPELLER_VANE_WS
WERNER_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
W.G SCHULZ GMBH_CUP VANE WINDSENSOR;WD;WS;;CUP VANE WINDSENSOR;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WD;ANEMOMETER_CUP_AND_WIND_VANE_COMBINED_WS
WHOI_DMON;SOUND;Woods Hole Oceanographic Institution (3844);DMON;ACOUSTIC
WIKA_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
XBT_DeepBlue;SUB_T;DEPTH;National Oceanic and Atmospheric Administation (1433);DeepBlue;SWT_XBT;DEP_XBT
YANAGI_6;ATMPRESS;;6;BAROMETER_ANEROID_HAND
YANAGI_8;ATMPRESS;;8;BAROMETER_ANEROID_HAND
YANAGI_8A;ATMPRESS;;8A;BAROMETER_ANEROID_HAND
YANAGI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
YANAGI_BAROMETER;ATMPRESS;;BAROMETER;BAROMETER_GENERIC
YANAGI_ELECTRIC BAROMETER;ATMPRESS;;ELECTRIC BAROMETER;BAROMETER_ELECTRIC
YOSHINO_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
YOSHINO KEIKI_ANEROID HAND BAROMETER;ATMPRESS;;ANEROID HAND BAROMETER;BAROMETER_ANEROID_HAND
YOSHINO_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
YOUBANG_DYJ1;ATMPRESS;;DYJ1;BAROGRAPH_GENERIC
ZEAL_ALCOHOL FM23006;AIRTEMP;;ALCOHOL FM23006;THERMOMETER_ALCOHOL
ZEAL_ALCOHOL ORD 2/C;AIRTEMP;;ALCOHOL ORD 2/C;THERMOMETER_ALCOHOL
ZEAL_ALCOHOL P2502;AIRTEMP;;ALCOHOL P2502;THERMOMETER_ALCOHOL
ZEAL_ALCOHOL P2505;AIRTEMP;;ALCOHOL P2505;THERMOMETER_ALCOHOL
ZEAL_ALCOHOL P2528;AIRTEMP;;ALCOHOL P2528;THERMOMETER_ALCOHOL
ZEAL_ALCOHOL THERMOMETER;AIRTEMP;;ALCOHOL THERMOMETER;THERMOMETER_ALCOHOL
ZEAL_ELECTRICAL RESISTANCE THERMOMETER;AIRTEMP;;ELECTRICAL RESISTANCE THERMOMETER;THERMOMETER_ELECTRIC
ZEAL_MERCURY FM23006;AIRTEMP;;MERCURY FM23006;THERMOMETER_MERCURY_DRY_BULB
ZEAL_MERCURY ORD 2/C;AIRTEMP;;MERCURY ORD 2/C;THERMOMETER_MERCURY_DRY_BULB
ZEAL_MERCURY P2502;AIRTEMP;;MERCURY P2502;THERMOMETER_MERCURY_DRY_BULB
ZEAL_MERCURY P2505;AIRTEMP;;MERCURY P2505;THERMOMETER_MERCURY_DRY_BULB
ZEAL_MERCURY P2528;AIRTEMP;;MERCURY P2528;THERMOMETER_MERCURY_DRY_BULB
ZEAL_MERCURY THERMOMETER;AIRTEMP;;MERCURY THERMOMETER;THERMOMETER_MERCURY_DRY_BULB
ZEAL_ORD_2C;AIRTEMP;;ORD_2C;THERMOMETER_ALCOHOL
ZEAL_PH1000;AIRTEMP;;PH1000;THERMOMETER_ELECTRIC
ZEAL_THERMOMETER;AIRTEMP;;THERMOMETER;THERMOMETER_GENERIC
ZebraTech_Moana_TD_1000;SUB_PRESS;SUB_T;ZebraTech (5602);Moana_TD_1000;CTD_PRES;CTD_TEMP
Zebratech_Moana_TD_200;SUB_PRESS;SUB_T;ZebraTech (5602);Moana_TD_200;CTD_PRES;CTD_TEMP
